8.949717e-001           *   4.318009e-003  4.402675e-003
9.026944e-001           *   8.382017e-003  8.466684e-003
9.104170e-001           *   1.447803e-002  1.524003e-002
2.487901e+000 1.365591e+000 4.634239e+000  5.998815e+000
2.519822e+000 1.372703e+000 4.640335e+000  6.013716e+000
2.535782e+000 1.375751e+000 4.643383e+000  6.019135e+000
2.551742e+000 1.379138e+000 4.647447e+000  6.025908e+000
2.568217e+000 1.382525e+000 4.650495e+000  6.032681e+000
2.584692e+000 1.385573e+000 4.653543e+000  6.039455e+000
2.600652e+000 1.388621e+000 4.656591e+000  6.044873e+000
2.617127e+000 1.392007e+000 4.659639e+000  6.051647e+000
2.634117e+000 1.395055e+000 4.662687e+000  6.057065e+000
2.650592e+000 1.397765e+000 4.664719e+000  6.062484e+000
2.667582e+000 1.400813e+000 4.667767e+000  6.069257e+000
2.684057e+000 1.403861e+000 4.670815e+000  6.074676e+000
2.701047e+000 1.406570e+000 4.672847e+000  6.080095e+000
2.718037e+000 1.409618e+000 4.675895e+000  6.085514e+000
2.735541e+000 1.412327e+000 4.677927e+000  6.090932e+000
2.752531e+000 1.415037e+000 4.680975e+000  6.094996e+000
2.770036e+000 1.417746e+000 4.683007e+000  6.100415e+000
2.787541e+000 1.420117e+000 4.685039e+000  6.105834e+000
2.805045e+000 1.422826e+000 4.687071e+000  6.109898e+000
2.822550e+000 1.425536e+000 4.690119e+000  6.115316e+000
2.840570e+000 1.427906e+000 4.692151e+000  6.119380e+000
2.858074e+000 1.430616e+000 4.694183e+000  6.124799e+000
2.876094e+000 1.432986e+000 4.696215e+000  6.128863e+000
2.894114e+000 1.435357e+000 4.698247e+000  6.132927e+000
2.912648e+000 1.437728e+000 4.700279e+000  6.138346e+000
2.949202e+000 1.442469e+000 4.704343e+000  6.146474e+000
2.967736e+000 1.444501e+000 4.705359e+000  6.150538e+000
2.986271e+000 1.446872e+000 4.707391e+000  6.154602e+000
3.004805e+000 1.448904e+000 4.709423e+000  6.158666e+000
3.023854e+000 1.451274e+000 4.711455e+000  6.162730e+000
3.042389e+000 1.453306e+000 4.712471e+000  6.165439e+000
3.061438e+000 1.455338e+000 4.714503e+000  6.169503e+000
3.081002e+000 1.457370e+000 4.715519e+000  6.173567e+000
3.100051e+000 1.459402e+000 4.717551e+000  6.177631e+000
3.119616e+000 1.461434e+000 4.719583e+000  6.180340e+000
3.138665e+000 1.463466e+000 4.720599e+000  6.184404e+000
3.158744e+000 1.465160e+000 4.721615e+000  6.187114e+000
3.178308e+000 1.467192e+000 4.723647e+000  6.191178e+000
3.197872e+000 1.468885e+000 4.724663e+000  6.193887e+000
3.217951e+000 1.470917e+000 4.726695e+000  6.196596e+000
3.238030e+000 1.472610e+000 4.727711e+000  6.200660e+000
3.258109e+000 1.474304e+000 4.728727e+000  6.203370e+000
3.278703e+000 1.475997e+000 4.729743e+000  6.206079e+000
3.298782e+000 1.477690e+000 4.731775e+000  6.208788e+000
3.319375e+000 1.479384e+000 4.732791e+000  6.212852e+000
3.339969e+000 1.481077e+000 4.733807e+000  6.215562e+000
3.361078e+000 1.482770e+000 4.734823e+000  6.218271e+000
3.381672e+000 1.484464e+000 4.735839e+000  6.220980e+000
3.402780e+000 1.485818e+000 4.736855e+000  6.223690e+000
3.423889e+000 1.487512e+000 4.737871e+000  6.226399e+000
3.444997e+000 1.488866e+000 4.739903e+000  6.227754e+000
3.466621e+000 1.490560e+000 4.740919e+000  6.230463e+000
3.488244e+000 1.491914e+000 4.741935e+000  6.233172e+000
3.509868e+000 1.493269e+000 4.742951e+000  6.235882e+000
3.531491e+000 1.494624e+000 4.743967e+000  6.238591e+000
3.553630e+000 1.495978e+000 4.743967e+000  6.239946e+000
3.575768e+000 1.497333e+000 4.744983e+000  6.242655e+000
3.597906e+000 1.498688e+000 4.745999e+000  6.245364e+000
3.620045e+000 1.500042e+000 4.747015e+000  6.246719e+000
3.642183e+000 1.501058e+000 4.748031e+000  6.249428e+000
3.664836e+000 1.502413e+000 4.749047e+000  6.252138e+000
3.687489e+000 1.503768e+000 4.750064e+000  6.253493e+000
3.710657e+000 1.504784e+000 4.751080e+000  6.256202e+000
3.733310e+000 1.506138e+000 4.752096e+000  6.257557e+000
3.756478e+000 1.507154e+000 4.752096e+000  6.260266e+000
3.803329e+000 1.509525e+000 4.754128e+000  6.264330e+000
3.826497e+000 1.510541e+000 4.755144e+000  6.265685e+000
3.850180e+000 1.511896e+000 4.756160e+000  6.267039e+000
3.873863e+000 1.512912e+000 4.756160e+000  6.269749e+000
3.898061e+000 1.513928e+000 4.757176e+000  6.271103e+000
3.922258e+000 1.514944e+000 4.758192e+000  6.272458e+000
3.946456e+000 1.515960e+000 4.759208e+000  6.275167e+000
3.970654e+000 1.516976e+000 4.759208e+000  6.276522e+000
3.994852e+000 1.517992e+000 4.760224e+000  6.277877e+000
4.019564e+000 1.519008e+000 4.761240e+000  6.280586e+000
4.044277e+000 1.520024e+000 4.761240e+000  6.281941e+000
4.069504e+000 1.521040e+000 4.762256e+000  6.283295e+000
4.094217e+000 1.522056e+000 4.763272e+000  6.284650e+000
4.119444e+000 1.522733e+000 4.763272e+000  6.286005e+000
4.145186e+000 1.523749e+000 4.764288e+000  6.288714e+000
4.170414e+000 1.524765e+000 4.765304e+000  6.290069e+000
4.196156e+000 1.525781e+000 4.765304e+000  6.291423e+000
4.221898e+000 1.526458e+000 4.766320e+000  6.292778e+000
4.248155e+000 1.527474e+000 4.766320e+000  6.294133e+000
4.274412e+000 1.528152e+000 4.767336e+000  6.295487e+000
4.300669e+000 1.529168e+000 4.768352e+000  6.296842e+000
4.326926e+000 1.529845e+000 4.768352e+000  6.298197e+000
4.353698e+000 1.530861e+000 4.768352e+000  6.299551e+000
4.380470e+000 1.531538e+000 4.769368e+000  6.300906e+000
4.407242e+000 1.532554e+000 4.769368e+000  6.302261e+000
4.434014e+000 1.533232e+000 4.770384e+000  6.303615e+000
4.461301e+000 1.533909e+000 4.770384e+000  6.304970e+000
4.488588e+000 1.534586e+000 4.770384e+000  6.304970e+000
4.516389e+000 1.535602e+000 4.771400e+000  6.306325e+000
4.544191e+000 1.536280e+000 4.771400e+000  6.307679e+000
